epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.815,2.33064,7.82888,1.02391,0.00086,0.25664,0.00065,0.00035,1.91754,6.15282,0.90434,0.000654971,0.000654971,0.000654971
2,318.413,2.04927,4.65861,0.91001,0.89113,0.39823,0.57886,0.27757,1.96814,3.9563,0.92384,0.00129547,0.00129547,0.00129547
3,477.617,2.05432,3.79994,0.91261,0.74644,0.60177,0.73221,0.34088,1.84228,2.64712,0.8818,0.00190957,0.00190957,0.00190957
4,626.601,2.00455,2.89264,0.92103,0.91572,0.79867,0.89809,0.49771,1.57639,2.0458,0.86529,0.0018812,0.0018812,0.0018812
5,774.829,1.83952,2.40115,0.87256,0.90055,0.82134,0.90191,0.50569,1.57993,1.83343,0.86035,0.0018416,0.0018416,0.0018416
6,922.91,1.72476,2.01581,0.86028,0.92782,0.85321,0.94029,0.49591,1.64582,1.66838,0.8734,0.001802,0.001802,0.001802
7,1072.16,1.72013,1.71335,0.88355,0.9204,0.79307,0.90373,0.49439,1.50303,1.59589,0.85292,0.0017624,0.0017624,0.0017624
8,1233.57,1.63185,1.53205,0.86676,0.8922,0.87894,0.93763,0.54588,1.40492,1.3138,0.84094,0.0017228,0.0017228,0.0017228
9,1382.59,1.68801,1.45222,0.87003,0.90316,0.84597,0.93013,0.53609,1.4362,1.26055,0.83779,0.0016832,0.0016832,0.0016832
10,1531.08,1.5665,1.26188,0.86383,0.93409,0.88053,0.95157,0.57374,1.45999,1.05078,0.85036,0.0016436,0.0016436,0.0016436
11,1680.84,1.55499,1.21672,0.8487,0.9715,0.90506,0.97152,0.60331,1.33868,0.94858,0.83755,0.001604,0.001604,0.001604
12,1830.77,1.57394,1.14785,0.84503,0.99059,0.93198,0.98114,0.59406,1.3756,0.93319,0.83862,0.0015644,0.0015644,0.0015644
13,1983.36,1.57362,1.09515,0.86121,0.94264,0.93142,0.97447,0.57332,1.36455,0.88798,0.83441,0.0015248,0.0015248,0.0015248
14,2143.96,1.62645,1.0892,0.85705,0.93356,0.93584,0.96974,0.51514,1.50989,0.89232,0.84802,0.0014852,0.0014852,0.0014852
15,2298.87,1.4952,0.95268,0.84624,0.97513,0.94248,0.98623,0.61091,1.34916,0.8002,0.83281,0.0014456,0.0014456,0.0014456
16,2447.38,1.46892,0.95236,0.85773,0.97668,0.9267,0.98041,0.60001,1.33888,0.78393,0.8337,0.001406,0.001406,0.001406
17,2596.24,1.44954,0.92999,0.84486,0.99544,0.94248,0.98986,0.62278,1.2644,0.71778,0.8249,0.0013664,0.0013664,0.0013664
18,2745,1.47862,0.88275,0.83797,0.98856,0.94469,0.99176,0.62763,1.29714,0.68469,0.82547,0.0013268,0.0013268,0.0013268
19,2893.91,1.42823,0.87378,0.83802,0.97763,0.96692,0.99127,0.62417,1.29757,0.69086,0.82623,0.0012872,0.0012872,0.0012872
20,3042.71,1.4893,0.87363,0.84914,0.95806,0.96035,0.99013,0.53013,1.4973,0.7977,0.84093,0.0012476,0.0012476,0.0012476
21,3190.82,1.39486,0.80774,0.8241,0.98332,0.95354,0.99218,0.60262,1.32865,0.70934,0.82372,0.001208,0.001208,0.001208
22,3338.8,1.36404,0.74995,0.8358,1,0.97497,0.99295,0.6699,1.1693,0.61894,0.81797,0.0011684,0.0011684,0.0011684
23,3487.68,1.32209,0.74738,0.8308,0.98549,0.96681,0.99154,0.70421,1.11987,0.64635,0.82011,0.0011288,0.0011288,0.0011288
24,3634.97,1.3311,0.7364,0.83033,0.95985,0.95215,0.98764,0.65757,1.19956,0.74655,0.81797,0.0010892,0.0010892,0.0010892
25,3784.19,1.32981,0.74663,0.82962,0.98453,0.98576,0.99421,0.66294,1.18777,0.61519,0.82015,0.0010496,0.0010496,0.0010496
26,3932.3,1.33647,0.75035,0.82182,0.99296,0.9823,0.9944,0.64843,1.24961,0.62886,0.8239,0.00101,0.00101,0.00101
27,4081.64,1.26856,0.73248,0.82498,1,0.97907,0.99478,0.69277,1.10883,0.59013,0.81137,0.0009704,0.0009704,0.0009704
28,4229.7,1.28829,0.72334,0.82904,0.98673,0.98733,0.99452,0.69572,1.11984,0.62843,0.81016,0.0009308,0.0009308,0.0009308
29,4379.03,1.27297,0.69227,0.82939,0.96491,0.97342,0.9913,0.68882,1.08142,0.6024,0.80943,0.0008912,0.0008912,0.0008912
