epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1238.56,2.54578,8.47574,1.0312,0.96231,0.36754,0.60003,0.27227,1.98178,4.27786,0.89334,0.000660767,0.000660767,0.000660767
2,3478.56,2.04739,3.91927,0.91246,0.82978,0.69435,0.7788,0.37411,1.77885,2.88983,0.87369,0.00130115,0.00130115,0.00130115
3,3781.66,1.9709,2.86407,0.89931,0.86985,0.78451,0.87035,0.4397,1.67516,1.99035,0.86374,0.00191513,0.00191513,0.00191513
4,4093.23,1.90409,2.12475,0.88854,0.79636,0.71872,0.74695,0.25427,2.19736,1.82337,0.91246,0.0018812,0.0018812,0.0018812
5,4415.38,1.81737,1.73273,0.87673,0.88026,0.83278,0.90684,0.46877,1.66582,1.41472,0.85793,0.0018416,0.0018416,0.0018416
6,4742.42,1.86417,1.49384,0.8852,0.91747,0.82614,0.926,0.50093,1.59005,1.17002,0.8534,0.001802,0.001802,0.001802
7,5056.99,1.77965,1.3463,0.86686,0.93776,0.86379,0.93308,0.48773,1.63702,1.08354,0.85445,0.0017624,0.0017624,0.0017624
8,5365.65,1.73518,1.2392,0.8637,0.91504,0.83389,0.92597,0.4798,1.63293,1.12988,0.85252,0.0017228,0.0017228,0.0017228
9,5670.41,1.72308,1.17653,0.85836,0.9345,0.87708,0.94375,0.51418,1.57661,0.91722,0.85298,0.0016832,0.0016832,0.0016832
10,5972.84,1.71281,1.12521,0.8581,0.93318,0.85382,0.94737,0.52131,1.53402,0.89432,0.84282,0.0016436,0.0016436,0.0016436
11,6274.32,1.8129,1.13598,0.8655,0.94912,0.9089,0.96728,0.55089,1.46888,0.9713,0.83785,0.001604,0.001604,0.001604
12,6573.75,1.74584,1.05981,0.85167,0.94977,0.9103,0.96142,0.55296,1.5522,0.84767,0.84601,0.0015644,0.0015644,0.0015644
13,6872.92,1.63427,1.03562,0.86269,0.87218,0.9068,0.94704,0.47155,1.63906,0.89319,0.85286,0.0015248,0.0015248,0.0015248
14,7181.92,1.60113,0.96239,0.85956,0.97608,0.90365,0.96203,0.54241,1.4793,0.81898,0.8374,0.0014852,0.0014852,0.0014852
15,7489.77,1.60498,0.92038,0.85286,0.96958,0.93245,0.97999,0.58189,1.4667,0.71594,0.83597,0.0014456,0.0014456,0.0014456
16,7790.19,1.61009,0.87549,0.85198,0.96761,0.92913,0.9837,0.59741,1.40389,0.6618,0.83364,0.001406,0.001406,0.001406
17,8110.14,1.62169,0.91927,0.84111,0.98299,0.92691,0.98546,0.57917,1.41768,0.69106,0.82917,0.0013664,0.0013664,0.0013664
